일시,예측_발전량_1,예측_발전량_2,예측총발전량
2020-01-02 16:00:00,7.264887,10.324043,17.58893
2020-01-02 17:00:00,4.7781596,5.5804005,10.358561
2020-01-03 07:00:00,4.163977,3.9130452,8.077023
2020-01-03 08:00:00,8.425456,10.622116,19.047573
2020-01-03 09:00:00,18.826868,24.049843,42.87671
2020-01-03 10:00:00,26.535568,30.584457,57.120026
2020-01-03 11:00:00,27.442741,31.053955,58.496696
2020-01-03 12:00:00,30.605833,34.19588,64.80171
2020-01-03 13:00:00,29.488186,31.73592,61.224106
2020-01-03 15:00:00,22.121794,23.160946,45.282738
2020-01-03 16:00:00,11.974282,14.962781,26.937063
2020-01-03 17:00:00,4.8068824,7.718964,12.5258465
2020-01-04 07:00:00,3.3284523,4.4600854,7.788538
2020-01-04 08:00:00,7.822072,9.237583,17.059654
2020-01-04 09:00:00,15.043394,18.63361,33.677002
2020-01-04 10:00:00,29.305784,36.72055,66.02634
2020-01-04 11:00:00,31.584192,38.29041,69.8746
2020-01-04 12:00:00,31.521776,37.54094,69.06271
2020-01-04 13:00:00,28.00077,32.67864,60.67941
2020-01-04 14:00:00,20.303999,22.686237,42.990234
2020-01-04 15:00:00,11.545848,12.133637,23.679485
2020-01-04 16:00:00,5.076966,6.1823635,11.259329
2020-01-04 17:00:00,2.726973,3.5883038,6.315277
2020-01-05 07:00:00,2.7987185,4.6515102,7.4502287
2020-01-05 08:00:00,7.1697936,10.12608,17.295874
2020-01-05 09:00:00,17.251858,24.496944,41.748802
2020-01-05 10:00:00,29.05041,35.256874,64.30728
2020-01-05 11:00:00,31.324371,35.575096,66.89947
2020-01-05 12:00:00,32.365166,36.928867,69.29404
2020-01-05 13:00:00,30.62233,34.589775,65.212105
2020-01-05 14:00:00,25.966269,26.215275,52.18154
2020-01-05 15:00:00,15.591621,16.205824,31.797445
2020-01-05 16:00:00,7.0180926,9.606257,16.62435
2020-01-05 17:00:00,4.752671,4.9380307,9.6907015
2020-01-06 07:00:00,4.2618513,3.5546706,7.8165216
2020-01-06 08:00:00,1.5357406,3.612345,5.1480856
2020-01-06 09:00:00,5.617338,8.440645,14.057983
2020-01-06 10:00:00,8.060416,10.960148,19.020565
2020-01-06 11:00:00,8.787022,12.501053,21.288074
2020-01-06 12:00:00,8.61549,12.583962,21.199451
2020-01-06 13:00:00,8.773421,12.801737,21.575157
2020-01-06 14:00:00,11.035626,13.941796,24.977423
2020-01-06 15:00:00,7.318448,10.175846,17.494293
2020-01-06 16:00:00,8.585208,8.825738,17.410946
2020-01-06 17:00:00,9.466326,8.006544,17.47287
2020-01-07 07:00:00,8.136055,6.621633,14.7576885
2020-01-07 08:00:00,2.953716,2.7550523,5.7087684
2020-01-07 09:00:00,2.8932583,3.5284803,6.4217386
2020-01-07 10:00:00,3.3167458,5.244381,8.561127
2020-01-07 11:00:00,3.423862,6.378884,9.802746
2020-01-07 12:00:00,5.031895,10.170282,15.202177
2020-01-07 13:00:00,7.363112,12.273262,19.636374
2020-01-07 14:00:00,4.685693,10.304031,14.989724
2020-01-07 15:00:00,2.294176,7.800681,10.094857
2020-01-07 16:00:00,0.45264307,6.4355,6.888143
2020-01-08 07:00:00,-0.7426604,5.852169,5.1095085
2020-01-08 08:00:00,4.6709127,11.096097,15.76701
2020-01-08 09:00:00,5.465022,11.332784,16.797806
2020-01-08 10:00:00,6.583685,12.052294,18.635979
2020-01-08 11:00:00,7.189084,10.885431,18.074516
2020-01-08 12:00:00,5.575268,12.055396,17.630665
2020-01-08 13:00:00,8.527364,13.735561,22.262924
2020-01-08 14:00:00,10.957839,14.176588,25.134426
2020-01-08 15:00:00,20.429234,20.917906,41.347137
2020-01-08 16:00:00,16.431734,8.865513,25.297247
2020-01-08 17:00:00,12.593935,4.5543356,17.14827
2020-01-09 07:00:00,8.91492,6.219112,15.134031
2020-01-09 08:00:00,7.9478946,12.07625,20.024145
2020-01-09 09:00:00,12.800559,23.058224,35.858784
2020-01-09 10:00:00,26.892982,37.67355,64.56653
2020-01-09 11:00:00,29.381086,37.585625,66.96671
2020-01-09 12:00:00,31.065742,38.2138,69.27954
2020-01-09 13:00:00,29.181984,34.99524,64.17722
2020-01-09 14:00:00,24.378077,27.76325,52.141327
2020-01-09 15:00:00,16.807096,17.032793,33.83989
2020-01-09 16:00:00,8.753755,6.8300867,15.583841
2020-01-09 17:00:00,5.238287,3.6644933,8.902781
2020-01-10 07:00:00,4.117957,3.7556827,7.87364
2020-01-10 08:00:00,6.633294,7.9931154,14.62641
2020-01-10 09:00:00,11.289453,13.685143,24.974596
2020-01-10 10:00:00,20.062046,23.71256,43.774605
2020-01-10 11:00:00,24.125788,27.979973,52.10576
2020-01-10 12:00:00,27.925064,33.461926,61.38699
2020-01-10 13:00:00,26.207573,30.61681,56.824383
2020-01-10 14:00:00,21.597237,23.548923,45.14616
2020-01-10 15:00:00,13.867309,14.806308,28.673616
2020-01-10 16:00:00,6.1691856,8.180321,14.349506
2020-01-10 17:00:00,3.752327,4.7565985,8.508925
2020-01-11 07:00:00,4.7265215,4.614794,9.341315
