일시,예측_발전량_1,예측_발전량_2,예측총발전량
2020-01-02 16:00:00,6.474357,7.0972295,13.571587
2020-01-02 17:00:00,3.0527544,4.4150867,7.467841
2020-01-03 07:00:00,3.9981303,4.9571924,8.955322
2020-01-03 08:00:00,9.0672245,10.350127,19.41735
2020-01-03 09:00:00,20.919115,25.129772,46.04889
2020-01-03 10:00:00,26.657322,30.739563,57.396885
2020-01-03 11:00:00,25.013271,31.907436,56.920708
2020-01-03 12:00:00,25.95805,34.74417,60.70222
2020-01-03 13:00:00,24.44157,31.64918,56.09075
2020-01-03 15:00:00,17.476349,24.416658,41.893005
2020-01-03 16:00:00,9.00391,14.715535,23.719444
2020-01-03 17:00:00,4.7947044,6.6114936,11.4061985
2020-01-04 07:00:00,4.1777124,5.8742304,10.051943
2020-01-04 08:00:00,9.370609,9.907707,19.278316
2020-01-04 09:00:00,17.314009,20.005362,37.31937
2020-01-04 10:00:00,29.443682,33.971405,63.415085
2020-01-04 11:00:00,31.006287,35.924767,66.93105
2020-01-04 12:00:00,29.534136,35.071476,64.60561
2020-01-04 13:00:00,25.449589,29.93412,55.38371
2020-01-04 14:00:00,18.13579,22.05166,40.18745
2020-01-04 15:00:00,10.77426,12.76948,23.54374
2020-01-04 16:00:00,5.1952195,5.6718655,10.8670845
2020-01-04 17:00:00,3.4150567,4.8577733,8.27283
2020-01-05 07:00:00,4.177238,6.1139913,10.291229
2020-01-05 08:00:00,9.299387,9.77665,19.076038
2020-01-05 09:00:00,21.091469,24.410913,45.50238
2020-01-05 10:00:00,30.13885,32.54862,62.68747
2020-01-05 11:00:00,30.697317,34.9017,65.599014
2020-01-05 12:00:00,29.851221,35.128296,64.979515
2020-01-05 13:00:00,28.096582,30.948303,59.044884
2020-01-05 14:00:00,22.911102,24.413982,47.325085
2020-01-05 15:00:00,12.738504,14.578708,27.317211
2020-01-05 16:00:00,5.1285625,6.8684893,11.997051
2020-01-05 17:00:00,3.742959,4.0234213,7.7663803
2020-01-06 07:00:00,3.4272664,4.336866,7.7641325
2020-01-06 08:00:00,4.5366263,5.131815,9.668442
2020-01-06 09:00:00,6.04823,5.4992447,11.547475
2020-01-06 10:00:00,8.935532,8.736012,17.671543
2020-01-06 11:00:00,9.994673,9.1471,19.141773
